product,theme,observed,expected,residual,abs_residual,association_strength,direction
"Money transfer, virtual currency, or money service",Banking / account servicing,1148,810.43,11.858,11.858,Strong,Higher than expected
"Money transfer, virtual currency, or money service",Credit reporting / identity,13,376.64,-18.7374,18.7374,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Credit-report accuracy / rights,0,32.8,-5.7274,5.7274,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Debt collection / validation,2,240.09,-15.3656,15.3656,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Debt legitimacy / authorization,0,23.75,-4.8733,4.8733,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Debt verification / FDCPA,0,84.83,-9.2102,9.2102,Strong,Lower than expected
"Money transfer, virtual currency, or money service",False credit reporting,0,74.66,-8.6406,8.6406,Strong,Lower than expected
"Money transfer, virtual currency, or money service",Transactions / funds disputes,1063,582.81,19.8907,19.8907,Strong,Higher than expected
Money transfers,Banking / account servicing,1,0.36,1.0539,1.0539,Normal,Higher than expected
Money transfers,Credit reporting / identity,0,0.17,-0.4113,0.4113,Normal,Lower than expected
Money transfers,Credit-report accuracy / rights,0,0.01,-0.1214,0.1214,Normal,Lower than expected
Money transfers,Debt collection / validation,0,0.11,-0.3284,0.3284,Normal,Lower than expected
Money transfers,Debt legitimacy / authorization,0,0.01,-0.1033,0.1033,Normal,Lower than expected
Money transfers,Debt verification / FDCPA,0,0.04,-0.1952,0.1952,Normal,Lower than expected
Money transfers,False credit reporting,0,0.03,-0.1831,0.1831,Normal,Lower than expected
Money transfers,Transactions / funds disputes,0,0.26,-0.5117,0.5117,Normal,Lower than expected
Mortgage,Banking / account servicing,857,719.04,5.1447,5.1447,Strong,Higher than expected
Mortgage,Credit reporting / identity,66,334.17,-14.6699,14.6699,Strong,Lower than expected
Mortgage,Credit-report accuracy / rights,0,29.1,-5.3948,5.3948,Strong,Lower than expected
Mortgage,Debt collection / validation,12,213.01,-13.7728,13.7728,Strong,Lower than expected
Mortgage,Debt legitimacy / authorization,0,21.07,-4.5903,4.5903,Strong,Lower than expected
Mortgage,Debt verification / FDCPA,0,75.26,-8.6754,8.6754,Strong,Lower than expected
Mortgage,False credit reporting,1,66.24,-8.016,8.016,Strong,Lower than expected
Mortgage,Transactions / funds disputes,1039,517.09,22.9514,22.9514,Strong,Higher than expected
"Payday loan, title loan, personal loan, or advance loan",Banking / account servicing,482,368.08,5.938,5.938,Strong,Higher than expected
"Payday loan, title loan, personal loan, or advance loan",Credit reporting / identity,97,171.06,-5.6626,5.6626,Strong,Lower than expected
"Payday loan, title loan, personal loan, or advance loan",Credit-report accuracy / rights,1,14.9,-3.6008,3.6008,Strong,Lower than expected
"Payday loan, title loan, personal loan, or advance loan",Debt collection / validation,17,109.04,-8.8143,8.8143,Strong,Lower than expected
"Payday loan, title loan, personal loan, or advance loan",Debt legitimacy / authorization,1,10.79,-2.9797,2.9797,Notable,Lower than expected
"Payday loan, title loan, personal loan, or advance loan",Debt verification / FDCPA,0,38.53,-6.207,6.207,Strong,Lower than expected
"Payday loan, title loan, personal loan, or advance loan",False credit reporting,0,33.91,-5.8231,5.8231,Strong,Lower than expected
"Payday loan, title loan, personal loan, or advance loan",Transactions / funds disputes,413,264.7,9.1152,9.1152,Strong,Higher than expected
Prepaid card,Banking / account servicing,211,119.42,8.3809,8.3809,Strong,Higher than expected
Prepaid card,Credit reporting / identity,3,55.5,-7.047,7.047,Strong,Lower than expected
Prepaid card,Credit-report accuracy / rights,0,4.83,-2.1985,2.1985,Notable,Lower than expected
Prepaid card,Debt collection / validation,0,35.38,-5.9478,5.9478,Strong,Lower than expected
Prepaid card,Debt legitimacy / authorization,0,3.5,-1.8707,1.8707,Normal,Lower than expected
Prepaid card,Debt verification / FDCPA,0,12.5,-3.5354,3.5354,Strong,Lower than expected
Prepaid card,False credit reporting,0,11.0,-3.3168,3.3168,Strong,Lower than expected
Prepaid card,Transactions / funds disputes,114,85.88,3.0348,3.0348,Strong,Higher than expected
Student loan,Banking / account servicing,322,359.34,-1.9698,1.9698,Normal,Lower than expected
Student loan,Credit reporting / identity,163,167.0,-0.3096,0.3096,Normal,Lower than expected
Student loan,Credit-report accuracy / rights,1,14.54,-3.5515,3.5515,Strong,Lower than expected
Student loan,Debt collection / validation,16,106.45,-8.7668,8.7668,Strong,Lower than expected
