theme,complaints,not_timely,timely,not_timely_rate_pct,ci_95_lower_pct,ci_95_upper_pct
Debt legitimacy / authorization,320,27,293,8.4375,5.863391629830028,11.997650323022595
Transactions / funds disputes,7853,447,7406,5.692092194065962,5.200986397158599,6.226525072004473
Debt collection / validation,3235,141,3094,4.358578052550232,3.707479672581023,5.117943320638684
Banking / account servicing,10920,475,10445,4.3498168498168495,3.9830269245148378,4.748713300902789
Credit reporting / identity,5075,148,4927,2.916256157635468,2.4877445776339497,3.4159927461595214
False credit reporting,1006,10,996,0.9940357852882704,0.5408252431189344,1.8200858298465672
Debt verification / FDCPA,1143,11,1132,0.9623797025371827,0.5382174742706392,1.7150546429814784
Credit-report accuracy / rights,442,1,441,0.22624434389140274,0.03994885234367106,1.2702610227418598
