theme,complaints,negative_complaints,positive_complaints,timely_responses,negative_rate,positive_rate,timely_response_rate,volume_share,volume_score,negative_score,response_gap_score,cx_priority_score,priority_rank,priority_tier
Transactions / funds disputes,7853,6847,267,7406,87.18960906659875,3.3999745320259773,94.30790780593404,26.181903047276123,0.7106603773584905,0.8730451356638455,0.6656531082561474,76.66128268601639,1,High Priority
Banking / account servicing,10920,6728,484,10445,61.61172161172161,4.4322344322344325,95.65018315018315,36.40728145629126,1.0,0.6160501896512459,0.5021853756139955,74.68571509832975,2,High Priority
Debt legitimacy / authorization,320,301,0,293,94.0625,0.0,91.5625,1.0668800426752016,0.0,0.9421008087524041,1.0,57.68403235009616,3,Medium Priority
Credit reporting / identity,5075,3378,194,4927,66.5615763546798,3.8226600985221673,97.08374384236453,16.920050676802028,0.44858490566037734,0.6657840722746989,0.3276005432546588,51.12676998249622,4,Medium Priority
Debt verification / FDCPA,1143,1141,0,1132,99.82502187226596,0.0,99.03762029746281,3.8107621524304855,0.07764150943396227,1.0,0.08964954806858924,44.898651338730275,5,Medium Priority
Debt collection / validation,3235,1838,87,3094,56.816074188562595,2.689335394126739,95.64142194744977,10.785490431419618,0.275,0.5678657118367886,0.5032523503984019,43.779675481439575,6,Medium Priority
False credit reporting,1006,3,0,996,0.2982107355864811,0.0,99.00596421471172,3.3540041341601654,0.06471698113207547,0.0,0.09350475415117349,4.458774328306489,7,Lower Priority
Credit-report accuracy / rights,442,4,0,441,0.904977375565611,0.0,99.77375565610859,1.4736280589451223,0.011509433962264152,0.006096514427111116,0.0,0.7042379355750108,8,Lower Priority
