sample_index,obs_tenure_days,obs_recency_days,obs_total_invoices,obs_total_line_items,obs_total_quantity,obs_unique_products,obs_unique_purchase_days,obs_total_revenue,obs_average_invoice_value,obs_average_line_revenue,obs_average_unit_price,obs_purchase_frequency_per_month,obs_products_per_invoice,obs_quantity_per_invoice,obs_avg_days_between_purchases,obs_r_score,obs_f_score,obs_m_score,obs_rfm_total_score,country:Australia,country:Austria,country:Bahrain,country:Belgium,country:Brazil,country:Canada,country:Channel Islands,country:Cyprus,country:Czech Republic,country:Denmark,country:EIRE,country:European Community,country:Finland,country:France,country:Germany,country:Greece,country:Iceland,country:Israel,country:Italy,country:Japan,country:Korea,country:Lebanon,country:Malta,country:Netherlands,country:Norway,country:Poland,country:Portugal,country:RSA,country:Saudi Arabia,country:Spain,country:Sweden,country:Switzerland,country:Thailand,country:USA,country:United Arab Emirates,country:United Kingdom,country:Unspecified,country:West Indies
4941,-0.010434585396861767,-0.345348159770282,1.4560068617908035,-0.22426576757460032,-0.06012059694503038,-0.014261715360149156,-1.8266376020908193,-0.040872273821006264,-0.0017032656360514732,0.00816901636450114,2.3346391561049667e-06,0.11044819980760003,0.03182122339649029,-0.001113097449176417,-0.15019601617084696,-0.1515237427486004,-0.2024702622418784,-0.4956191860152434,-0.3868632202907151,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
1919,-0.007919394123400857,-0.09348052711025572,0.0768958847788484,0.04057148615316021,0.005279608432536679,0.004827583114161091,-0.0893464044500944,0.0004897047747766858,-0.012275410903697978,0.008812880116273968,0.0011287201761256537,-0.037337703593701574,0.02684568776516601,-0.0021086850822154145,0.07048148374039298,0.013175977630313074,-0.10741380109545662,-0.2640214355408306,-0.16324286174116884,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
1049,0.005819838207879363,0.7692384905068458,-0.13206032385932664,0.05875434237924527,0.010892360881392543,0.007506782900029196,0.24156620462432934,0.004973671555798337,-0.007909443938992318,-0.01893636586782364,-0.0010237528210961199,0.009612934091370135,-0.005314617963561271,-0.0011231699545160019,-0.20157645636634844,0.34257541838814004,0.17775558234380875,0.199174065407995,0.3585379748744393,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4695,-0.002826131794642515,0.19891752919621156,-0.04847784040405662,0.07219384480722119,-0.012567392441705467,0.010520882659130816,0.07610990008711747,-0.005770920298946271,0.10044392467873102,1.0369481168305275,-0.002104554980542967,-0.044093812334517694,0.03804759200775641,0.009393585883730873,0.14129108459009282,0.17787569800922653,-0.012357339949034825,-0.4956191860152434,-0.08870274222465338,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
3312,0.001229614133813202,-0.2034916770077385,0.1604783682341184,-0.0977763329583565,-0.011649177179335037,-0.01359191541368213,-0.2548027089873063,-0.009002768946694759,0.023581463204552917,-0.011938518114241927,-0.00033055160132614567,0.06101313383624984,0.00037667209517417484,0.000776358766268267,-0.14070504510958892,0.013175977630313074,-0.2024702622418784,-0.4956191860152434,-0.3123231007741997,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4489,0.003493286279928021,0.9168850337903095,-0.09026908213169162,0.07298440377357271,0.007167769394594182,0.010688332645747574,0.15883805235572343,0.0031117518321319344,0.007560395876274965,0.3153377880677799,-0.0014710049077262704,-0.005490862383404752,0.03804759200775641,0.0003654403083026904,-0.0177199488969524,0.34257541838814004,-0.012357339949034825,-0.03242368506641778,0.13491761632489296,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
240,-0.00936562910564088,-0.3424531295098219,0.0768958847788484,-0.006862051827931226,-0.0076400682872951355,-0.00337746623005998,-0.17207455671870034,-0.0010299993748869442,-0.0027807762952725863,-0.012251355649370882,-0.003524989304381084,-0.04046948598514604,0.009139452026877956,0.0013337261505528117,0.03892773178280745,-0.1515237427486004,-0.10741380109545662,-0.2640214355408306,-0.2377829812576843,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,-0.5036732022490358,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,0.20025516326560747,-0.0,0.0
4064,0.0027387288978897484,0.2510280738844929,-0.09026908213169162,-0.013186523558743418,0.008693817295435176,-0.002707666283592954,0.15883805235572343,0.002979042655686258,0.010047771737851001,-0.027065590232856915,0.001222382128116374,-0.021343243523110164,-0.04867682793487896,-0.0008543931015070715,0.04190918866068956,0.17787569800922653,-0.012357339949034825,-0.03242368506641778,0.06037749680837752,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
2702,-0.0069133176140164935,-0.32797797820752156,-0.09026908213169162,0.05163931168208156,0.010607843476151001,0.006167183007095144,0.15883805235572343,0.005141373014443977,-0.030480912737322938,-0.02637368113469099,-0.002820772926367443,-0.05839410717864799,0.008778100277116977,-0.0023843536494040606,0.8071497873170945,-0.1515237427486004,0.08269912119738695,0.4307718158824078,0.13491761632489296,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
239,-0.002448853103623379,0.3089286790936943,-0.04847784040405662,0.04057148615316021,0.008124782484952095,0.005664833047244875,0.07610990008711747,0.0032784554774208377,-0.012631395211603079,-0.014296366609418876,-0.0006282169360327602,-0.04290167820359674,0.017089190521619533,-0.0016331568038149985,0.12638380020068235,0.17787569800922653,-0.012357339949034825,-0.03242368506641778,0.06037749680837752,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,-0.5036732022490358,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,0.20025516326560747,-0.0,0.0
